brand,vertical,explore_vertical,class,score_x,score_y,case_study,report
Bloomingdale's,Retail,Department Stores,Laggard,1.689189189,3.606557377,,Content & Commerce
Kohl's,Retail,Department Stores,Other,2.77027027,3.606557377,,Content & Commerce
Macy's,Retail,Department Stores,Leader,2.905405405,4.262295082,,Content & Commerce
Neiman Marcus,Retail,Department Stores,Leader,3.040540541,4.754098361,TRUE,Content & Commerce
Nordstrom,Retail,Department Stores,Leader,3.378378378,4.153005464,TRUE,Content & Commerce
Saks Fifth Avenue,Retail,Department Stores,Leader,3.716216216,6.010928962,,Content & Commerce
Ace Hardware,Retail,Big Box,Other,1.325966851,3.225806452,,Loyalty
Bass Pro Shops,Retail,Big Box,Laggard,0.773480663,2.580645161,,Loyalty
Best Buy,Retail,Big Box,Other,4.08839779,2.580645161,,Loyalty
Big Lots,Retail,Big Box,Other,3.093922652,1.935483871,,Loyalty
Cabela's,Retail,Big Box,Laggard,1.546961326,2.741935484,,Loyalty
Costco,Retail,Big Box,Other,1.325966851,3.064516129,,Loyalty
CVS,Retail,Big Box,Other,0.773480663,3.225806452,,Loyalty
Dick's Sporting Goods,Retail,Big Box,Other,1.878453039,3.064516129,,Loyalty
Dollar Tree,Retail,Big Box,Laggard,0.883977901,1.290322581,,Loyalty
Family Dollar,Retail,Big Box,Laggard,0.220994475,2.258064516,,Loyalty
Food Lion,Retail,Big Box,Other,0.44198895,3.387096774,,Loyalty
Fred Meyer,Retail,Big Box,Laggard,0.773480663,1.612903226,,Loyalty
Giant Eagle,Retail,Big Box,Laggard,0.883977901,2.741935484,,Loyalty
Harris Teeter,Retail,Big Box,Laggard,1.104972376,1.612903226,,Loyalty
IKEA,Retail,Big Box,Laggard,0.220994475,1.129032258,,Loyalty
Kmart,Retail,Big Box,Leader,4.917127072,3.064516129,,Loyalty
Meijer,Retail,Big Box,Laggard,1.104972376,2.903225806,,Loyalty
Michaels,Retail,Big Box,Laggard,2.430939227,2.096774194,,Loyalty
Office Depot,Retail,Big Box,Laggard,1.878453039,2.903225806,,Loyalty
Overstock.com,Retail,Big Box,Other,4.419889503,2.096774194,TRUE,Loyalty
Petco,Retail,Big Box,Laggard,2.651933702,1.774193548,,Loyalty
Petsmart,Retail,Big Box,Laggard,0.662983425,1.612903226,,Loyalty
Pier 1 Imports,Retail,Big Box,Other,3.314917127,1.935483871,,Loyalty
Ralphs,Retail,Big Box,Laggard,1.325966851,1.612903226,,Loyalty
Rite Aid,Retail,Big Box,Laggard,1.602209945,2.258064516,,Loyalty
Safeway,Retail,Big Box,Laggard,0.220994475,1.129032258,,Loyalty
Sam's Club,Retail,Big Box,Laggard,2.651933702,1.935483871,,Loyalty
Sears,Retail,Big Box,Other,4.917127072,2.903225806,,Loyalty
ShopRite,Retail,Big Box,Laggard,0.662983425,0.64516129,,Loyalty
Staples,Retail,Big Box,Laggard,2.430939227,1.612903226,,Loyalty
Target,Retail,Big Box,Laggard,0.662983425,2.741935484,,Loyalty
"Toys ""R"" Us",Retail,Big Box,Other,3.977900552,2.096774194,,Loyalty
Walgreens,Retail,Big Box,Other,0.994475138,3.709677419,TRUE,Loyalty
Bloomingdale's,Retail,Department Stores,Other,2.209944751,4.516129032,,Loyalty
Gilt,Retail,Department Stores,Leader,5.856353591,3.225806452,,Loyalty
Harrods,Retail,Department Stores,Laggard,2.099447514,2.258064516,,Loyalty
Harvey Nichols,Retail,Department Stores,Other,6.298342541,1.935483871,,Loyalty
House of Fraser,Retail,Department Stores,Other,3.64640884,2.903225806,,Loyalty
JCPenney,Retail,Department Stores,Other,1.878453039,3.064516129,,Loyalty
Kohl's,Retail,Department Stores,Other,1.657458564,3.387096774,,Loyalty
Lane Crawford,Retail,Department Stores,Other,6.077348066,2.580645161,,Loyalty
Macy's,Retail,Department Stores,Laggard,1.38121547,2.903225806,,Loyalty
Myer,Retail,Department Stores,Other,3.20441989,1.774193548,,Loyalty
Nordstrom,Retail,Department Stores,Laggard,1.215469613,1.774193548,,Loyalty
Best Buy,Retail,Big Box,Leader,7.944047121,5.95,TRUE,Mobile
Costco,Retail,Big Box,Laggard,4.542253788,3.306271367,,Mobile
CVS,Retail,Big Box,Other,4.475984848,5.594099548,,Mobile
Harbor Feight Tools,Retail,Big Box,Laggard,3.62025,2.261953124,,Mobile
Home Depot,Retail,Big Box,Other,4.434350194,6.8,,Mobile
Lowe's,Retail,Big Box,Laggard,4.517548114,4.805063093,,Mobile
Overstock.com,Retail,Big Box,Other,5.770080303,3.600802798,,Mobile
PetSmart,Retail,Big Box,Laggard,4.493820451,4.2,,Mobile
Rite Aid,Retail,Big Box,Laggard,2.489286136,3.451952381,,Mobile
T.J. Maxx,Retail,Big Box,Other,3.655715985,5.512877271,,Mobile
Target,Retail,Big Box,Leader,5.755964621,6.075441631,,Mobile
Walmart,Retail,Big Box,Leader,7.240415067,6.045823055,,Mobile
ASOS,Retail,Department Stores,Leader,8,6.070742782,,Mobile
Barneys New York,Retail,Department Stores,Other,4.48024585,5.781144141,,Mobile
Bloomingdale's,Retail,Department Stores,Laggard,4.485053022,4.49918936,,Mobile
JCPenney,Retail,Department Stores,Other,6.151216919,3.235677455,,Mobile
Kohl's,Retail,Department Stores,Leader,6.034068864,5.575763764,TRUE,Mobile
Macy's,Retail,Department Stores,Other,6.006849116,4.770760788,,Mobile
Marks & Spencer,Retail,Department Stores,Laggard,4.523593939,3.454936881,,Mobile
Nordstrom,Retail,Department Stores,Other,7.261616911,4.347720107,,Mobile
Sears,Retail,Department Stores,Laggard,4.380772508,4.706876025,,Mobile
Marriott Other & Resorts,Other,Hotels,Laggard,2.665577666,2.225714286,,Data & Targeting
Maybelline,Beauty,Beauty,Laggard,3.210573211,6.350952381,,Data & Targeting
Michael Kors,Fashion,Fashion,Other,3.47985348,8.73047619,,Data & Targeting
Neiman Marcus,Retail,Department Stores,Other,3.924858925,2.601428571,,Data & Targeting
Neutrogena,Beauty,Beauty,Laggard,3.04029304,6.164761905,,Data & Targeting
New Balance,Activewear,Activewear,Other,4.18968419,6.317142857,,Data & Targeting
Nike,Activewear,Activewear,Leader,4.234729235,7.88047619,,Data & Targeting
Nordstrom,Retail,Department Stores,Other,3.26007326,6.769047619,,Data & Targeting
NYX,Beauty,Beauty,Other,3.02049302,9.59,,Data & Targeting
Oakley,Activewear,Activewear,Laggard,3.285318285,4.567619048,,Data & Targeting
Olay,Beauty,Beauty,Laggard,2.37006237,3.92952381,,Data & Targeting
Patagonia,Activewear,Activewear,Laggard,2.823977824,6.584761905,,Data & Targeting
Peninsula Other,Other,Hotels,Laggard,3.121473121,5.704761905,,Data & Targeting
PetSmart,Retail,Big Box,Other,2.474507475,7.273809524,,Data & Targeting
Pier 1 Imports,Specialty Retail,Specialty Retail,Leader,4.02039402,6.698095238,,Data & Targeting
Pottery Barn,Specialty Retail,Specialty Retail,Laggard,3.204138204,2.652380952,,Data & Targeting
Prada,Fashion,Fashion,Laggard,3.316008316,4.295714286,,Data & Targeting
ProActiv,Beauty,Beauty,Other,0.810810811,8.447619048,,Data & Targeting
Ralph Lauren,Fashion,Fashion,Laggard,2.941292941,4.734761905,,Data & Targeting
Ralph Lauren,Specialty Retail,Specialty Retail,Laggard,2.941292941,4.734761905,,Data & Targeting
Banana Republic,Specialty Retail,Specialty Retail,Laggard,4.6,3.57,,Omnichannel
Cole Haan,Specialty Retail,Specialty Retail,Laggard,1.43,4.76,,Omnichannel
Crate & Barrel,Specialty Retail,Specialty Retail,Laggard,3.53,1.43,,Omnichannel
Desigual,Specialty Retail,Specialty Retail,Laggard,3.13,1.9,,Omnichannel
Ethan Allen,Specialty Retail,Specialty Retail,Laggard,1.41,0.71,,Omnichannel
Gap,Specialty Retail,Specialty Retail,Laggard,3.19,2.62,,Omnichannel
H&M,Specialty Retail,Specialty Retail,Laggard,1.2,2.62,,Omnichannel
J.Crew,Specialty Retail,Specialty Retail,Laggard,2.68,3.33,,Omnichannel
Pottery Barn,Specialty Retail,Specialty Retail,Laggard,2.44,0.48,,Omnichannel
Ralph Lauren,Specialty Retail,Specialty Retail,Laggard,4.43,3.33,,Omnichannel
Restoration Hardware,Specialty Retail,Specialty Retail,Laggard,2.75,1.19,,Omnichannel
Urban Outfitters,Specialty Retail,Specialty Retail,Laggard,4.53,4.29,,Omnichannel
Victoria's Secret,Specialty Retail,Specialty Retail,Laggard,2.32,3.33,,Omnichannel
West Elm,Specialty Retail,Specialty Retail,Laggard,2.71,2.62,,Omnichannel
Williams-Sonoma,Specialty Retail,Specialty Retail,Laggard,2.87,2.14,,Omnichannel
Zara,Specialty Retail,Specialty Retail,Laggard,3.14,2.38,,Omnichannel
Tourneau,Fashion,Watches & Jewelry,Other,5.16,3.57,,Omnichannel
Swatch,Fashion,Watches & Jewelry,Other,2.23,5.48,,Omnichannel
Apple,Fashion,Watches & Jewelry,Laggard,4.06,4.29,,Omnichannel
Cartier,Fashion,Watches & Jewelry,Laggard,2.3,3.81,,Omnichannel
Fossil,Fashion,Watches & Jewelry,Laggard,1.71,3.81,,Omnichannel
Montblanc,Fashion,Watches & Jewelry,Laggard,4.56,3.81,,Omnichannel
Tiffany & Co.,Fashion,Watches & Jewelry,Laggard,4.44,2.86,,Omnichannel
Desigual,Specialty Retail,Specialty Retail,Laggard,26.66666667,34.44444444,,Localization
Forever 21,Specialty Retail,Specialty Retail,Leader,52.22222222,57,TRUE,Localization
Gap,Specialty Retail,Specialty Retail,Laggard,42.22222222,42.44444444,,Localization
GUESS,Specialty Retail,Specialty Retail,Laggard,37.77777778,43.33333333,,Localization
H&M,Specialty Retail,Specialty Retail,Laggard,38.88888889,41.77777778,,Localization
Kate Spade,Specialty Retail,Specialty Retail,Laggard,34.44444444,45.55555556,,Localization
Lacoste,Specialty Retail,Specialty Retail,Other,53.33333333,47.11111111,,Localization
Levi's,Specialty Retail,Specialty Retail,Leader,68.88888889,55.27777778,,Localization
Ralph Lauren,Specialty Retail,Specialty Retail,Laggard,32.22222222,45.92592593,,Localization
Tommy Hilfiger,Specialty Retail,Specialty Retail,Laggard,45.55555556,47.33333333,,Localization
Uniqlo,Specialty Retail,Specialty Retail,Laggard,47.77777778,41.94444444,,Localization
Zara,Specialty Retail,Specialty Retail,Leader,53.33333333,50.77777778,,Localization
Tumi,Specialty Retail,Specialty Retail,Laggard,43.33333333,44.86111111,,Localization
Abercrombie & Fitch,Specialty Retail,Specialty Retail,Other,2.364864865,4.207650273,,Content & Commerce
American Eagle Outfitters,Specialty Retail,Specialty Retail,Leader,3.040540541,6.229508197,,Content & Commerce
Ann Taylor,Specialty Retail,Specialty Retail,Other,2.77027027,2.786885246,,Content & Commerce
Anthropologie,Specialty Retail,Specialty Retail,Other,0.675675676,4.480874317,,Content & Commerce
Club Monaco,Specialty Retail,Specialty Retail,Laggard,2.432432432,3.387978142,,Content & Commerce
Forever 21,Specialty Retail,Specialty Retail,Leader,3.175675676,4.262295082,,Content & Commerce
Guess,Specialty Retail,Specialty Retail,Leader,2.905405405,4.972677596,TRUE,Content & Commerce
J.Crew,Specialty Retail,Specialty Retail,Laggard,1.621621622,3.825136612,,Content & Commerce
Rebecca Minkoff,Specialty Retail,Specialty Retail,Other,2.905405405,3.770491803,,Content & Commerce
Sephora,Specialty Retail,Specialty Retail,Leader,5.135135135,6.174863388,,Content & Commerce
Topshop,Specialty Retail,Specialty Retail,Leader,2.905405405,4.590163934,,Content & Commerce
Ulta,Specialty Retail,Specialty Retail,Leader,4.324324324,6.174863388,,Content & Commerce
UNIQLO,Specialty Retail,Specialty Retail,Laggard,2.162162162,1.475409836,,Content & Commerce
Victoria's Secret,Specialty Retail,Specialty Retail,Leader,3.445945946,4.153005464,,Content & Commerce
Zara,Specialty Retail,Specialty Retail,Laggard,1.351351351,2.349726776,,Content & Commerce
American Eagle Outfitters,Specialty Retail,Specialty Retail,Leader,3.20441989,5.161290323,,Loyalty
Anthropologie,Specialty Retail,Specialty Retail,Laggard,2.430939227,1.290322581,,Loyalty
Charming Charlie,Specialty Retail,Specialty Retail,Laggard,2.983425414,1.612903226,,Loyalty
Chico's,Specialty Retail,Specialty Retail,Laggard,2.651933702,1.290322581,,Loyalty
Desigual,Specialty Retail,Specialty Retail,Laggard,1.546961326,1.129032258,,Loyalty
Express,Specialty Retail,Specialty Retail,Other,2.099447514,5.806451613,,Loyalty
Guess,Specialty Retail,Specialty Retail,Other,3.425414365,2.419354839,,Loyalty
Hollister,Specialty Retail,Specialty Retail,Other,2.762430939,3.709677419,,Loyalty
Nine West,Specialty Retail,Specialty Retail,Other,4.53038674,2.419354839,,Loyalty
PacSun,Specialty Retail,Specialty Retail,Other,0.552486188,3.064516129,,Loyalty
Sephora,Specialty Retail,Specialty Retail,Leader,8.17679558,3.548387097,TRUE,Loyalty
Soma Intimates,Specialty Retail,Specialty Retail,Other,3.64640884,2.419354839,,Loyalty
Space.NK.apothecary,Specialty Retail,Specialty Retail,Other,5.193370166,1.774193548,,Loyalty
Ulta,Specialty Retail,Specialty Retail,Leader,3.867403315,3.064516129,,Loyalty
Urban Outfitters,Specialty Retail,Specialty Retail,Other,3.535911602,2.903225806,,Loyalty
White House | Black Market,Specialty Retail,Specialty Retail,Other,3.535911602,1.290322581,,Loyalty
Zales,Specialty Retail,Specialty Retail,Laggard,0.44198895,1.774193548,,Loyalty
Atelier Cologne,Beauty,Beauty,Laggard,1.95,1.647416667,,Mobile
ALDO,Specialty Retail,Specialty Retail,Other,5.528868484,4.74525153,,Mobile
American Eagle Outfitters,Specialty Retail,Specialty Retail,Leader,7.429451093,5.95,TRUE,Mobile
Cole Haan,Specialty Retail,Specialty Retail,Other,5.756932683,4.748544643,,Mobile
Forever 21,Specialty Retail,Specialty Retail,Other,7.292384754,3.345223384,,Mobile
Gap,Specialty Retail,Specialty Retail,Other,6.185557771,4.11516369,,Mobile
H&M,Specialty Retail,Specialty Retail,Laggard,4.257262557,3.460259816,,Mobile
Hollister,Specialty Retail,Specialty Retail,Leader,7.626763441,6.236849212,,Mobile
Lilly Pulitzer,Specialty Retail,Specialty Retail,Other,4.0911,5.958669643,,Mobile
Nine West,Specialty Retail,Specialty Retail,Other,4.628724927,6.585392857,,Mobile
Pandora,Specialty Retail,Specialty Retail,Laggard,4.38305,3.81797234,,Mobile
Pier 1 Imports,Specialty Retail,Specialty Retail,Other,4.54915,5.925327381,,Mobile
Ralph Lauren,Specialty Retail,Specialty Retail,Other,3.7129,6.211417325,,Mobile
Sephora,Specialty Retail,Specialty Retail,Other,6.015868982,4.4609369,,Mobile
Swarovski,Specialty Retail,Specialty Retail,Other,5.66045,2.869573447,,Mobile
Urban Outfitters,Specialty Retail,Specialty Retail,Leader,5.574604459,6.02248796,,Mobile
Victoria's Secret,Specialty Retail,Specialty Retail,Leader,5.7,5.860377784,,Mobile
Zales,Specialty Retail,Specialty Retail,Other,5.77175,2.542803301,,Mobile
Rebecca Minkoff,Fashion,Fashion,Laggard,2.46015246,3.367619048,,Data & Targeting
Rebecca Minkoff,Specialty Retail,Specialty Retail,Laggard,2.46015246,3.367619048,,Data & Targeting
REI,Activewear,Activewear,Laggard,3.668943669,5.784761905,,Data & Targeting
Rite Aid,Retail,Big Box,Laggard,2.445797446,3.162857143,,Data & Targeting
Saks Fifth Avenue,Retail,Department Stores,Laggard,3.339273339,6.103809524,,Data & Targeting
Sephora,Specialty Retail,Specialty Retail,Other,4.654489654,6.598095238,,Data & Targeting
Smashbox,Beauty,Beauty,Laggard,3.44025344,2.355238095,,Data & Targeting
Sofitel Other,Other,Hotels,Other,4.091674092,3.594761905,,Data & Targeting
Staples,Retail,Big Box,Laggard,3.429363429,5.143809524,,Data & Targeting
Starwood Other & Resorts,Other,Hotels,Laggard,3.55014355,4.034761905,,Data & Targeting
Target,Retail,Big Box,Other,2.083457083,7.528095238,,Data & Targeting
Tarte,Beauty,Beauty,Laggard,3.085338085,3.484761905,,Data & Targeting
The North Face,Activewear,Activewear,Other,4.133749134,5.238095238,TRUE,Data & Targeting
TJ Maxx,Retail,Big Box,Laggard,3.415008415,5.140952381,,Data & Targeting
Tommy Hilfiger,Fashion,Fashion,Other,3.806058806,5.75047619,,Data & Targeting
Tommy Hilfiger,Fashion,Fashion,Other,3.806058806,5.75047619,,Data & Targeting
Tory Burch,Fashion,Fashion,Other,4.8995149,3.900952381,,Data & Targeting
Ulta,Specialty Retail,Specialty Retail,Laggard,3.470943471,6.571904762,,Data & Targeting
Under Armour,Activewear,Activewear,Other,3.82041382,4.007619048,,Data & Targeting
UNIQLO,Specialty Retail,Specialty Retail,Laggard,3.595188595,3.948095238,,Data & Targeting
Urban Decay,Beauty,Beauty,Leader,4.4995545,7.53,TRUE,Data & Targeting
Urban Outfitters,Specialty Retail,Specialty Retail,Laggard,3.110583111,4.588571429,,Data & Targeting
Vans,Activewear,Activewear,Laggard,1.91961192,6.016666667,,Data & Targeting
Victoria's Secret,Specialty Retail,Specialty Retail,Laggard,3.054648055,4.845238095,,Data & Targeting
Walgreens,Retail,Big Box,Other,3.944658945,4.802857143,,Data & Targeting
Walmart,Retail,Big Box,Laggard,2.514107514,5.088095238,,Data & Targeting
Warby Parker,Specialty Retail,Specialty Retail,Laggard,3.164538165,2.638095238,,Data & Targeting
West Elm,Specialty Retail,Specialty Retail,Laggard,3.294228294,2.892380952,,Data & Targeting
Williams-Sonoma,Specialty Retail,Specialty Retail,Laggard,3.184338184,2.345714286,,Data & Targeting
YSL Beauty,Beauty,Beauty,Leader,3.919413919,7.42047619,,Data & Targeting
Zara,Specialty Retail,Specialty Retail,Laggard,3.524898525,4.71952381,,Data & Targeting
